,brand,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
21007,Toyota,Aygo,2017,9990,Automatic,7189,Other,0,67.3,1.0
21008,Toyota,Aygo,2017,7990,Manual,17915,Petrol,145,68.9,1.0
21009,Toyota,Aygo,2017,9450,Automatic,7235,Other,0,67.3,1.0
21010,Toyota,Aygo,2017,6890,Manual,9092,Petrol,0,69.0,1.0
21011,Toyota,Aygo,2015,7990,Automatic,24602,Other,0,67.0,1.0
21012,Toyota,Aygo,2019,9990,Automatic,5000,Other,145,56.5,1.0
21013,Toyota,Aygo,2015,5990,Manual,26000,Petrol,0,69.0,1.0
21014,Toyota,Aygo,2019,10350,Manual,3000,Petrol,145,57.7,1.0
21015,Toyota,Aygo,2019,10350,Manual,2000,Petrol,145,57.7,1.0
21016,Toyota,Aygo,2019,10350,Manual,2000,Petrol,145,57.7,1.0
21017,Toyota,Aygo,2019,10350,Manual,2000,Petrol,145,57.7,1.0
21018,Toyota,Aygo,2019,10000,Manual,150,Petrol,145,57.7,1.0
21019,Toyota,Aygo,2007,1995,Manual,75900,Petrol,20,61.4,1.0
21020,Toyota,Aygo,2013,5500,Manual,29446,Petrol,0,65.7,1.0
21021,Toyota,Aygo,2019,10000,Manual,150,Petrol,145,57.7,1.0
21022,Toyota,Aygo,2019,8900,Manual,5897,Petrol,145,56.5,1.0
21023,Toyota,Aygo,2011,2395,Manual,76552,Petrol,20,61.4,1.0
21024,Toyota,Aygo,2005,1295,Manual,88836,Petrol,20,61.4,1.0
21025,Toyota,Aygo,2016,8000,Automatic,17035,Petrol,0,67.0,1.0
21026,Toyota,Aygo,2017,8295,Manual,34002,Petrol,145,68.9,1.0
21027,Toyota,Aygo,2019,8500,Manual,6474,Petrol,145,56.5,1.0
21028,Toyota,Aygo,2019,10750,Semi-Auto,3029,Petrol,145,55.4,1.0
21029,Toyota,Aygo,2015,5999,Manual,39865,Petrol,0,69.0,1.0
21030,Toyota,Aygo,2016,5000,Manual,34732,Petrol,0,69.0,1.0
21031,Toyota,Aygo,2017,7500,Automatic,20588,Petrol,145,67.0,1.0
21032,Toyota,Aygo,2018,8000,Manual,9908,Petrol,145,68.9,1.0
21033,Toyota,Aygo,2017,6600,Manual,26357,Petrol,0,69.0,1.0
21034,Toyota,Aygo,2017,7650,Automatic,44152,Petrol,145,67.3,1.0
21035,Toyota,Aygo,2017,8000,Manual,20617,Petrol,0,68.9,1.0
21036,Toyota,Aygo,2017,7700,Manual,30635,Petrol,0,68.9,1.0
21037,Toyota,Aygo,2016,5700,Manual,30908,Petrol,0,69.0,1.0
21038,Toyota,Aygo,2018,7000,Manual,12199,Petrol,145,69.0,1.0
21039,Toyota,Aygo,2018,9200,Automatic,9855,Petrol,145,67.3,1.0
21040,Toyota,Aygo,2017,7000,Manual,18589,Petrol,0,68.9,1.0
21041,Toyota,Aygo,2017,7100,Automatic,42591,Petrol,145,67.0,1.0
21042,Toyota,Aygo,2017,6800,Manual,31851,Petrol,0,68.9,1.0
21043,Toyota,Aygo,2016,6100,Manual,20027,Petrol,0,69.0,1.0
21044,Toyota,Aygo,2017,7100,Manual,29384,Petrol,145,68.9,1.0
21045,Toyota,Aygo,2018,8995,Manual,18215,Petrol,145,68.9,1.0
21046,Toyota,Aygo,2017,8490,Manual,14513,Other,0,68.9,1.0
21047,Toyota,Aygo,2017,8390,Manual,19088,Petrol,145,68.9,1.0
21048,Toyota,Aygo,2020,12500,Manual,616,Petrol,145,57.7,1.0
21049,Toyota,Aygo,2018,8550,Manual,11839,Petrol,145,68.9,1.0
21050,Toyota,Aygo,2018,9995,Manual,11704,Petrol,150,56.5,1.0
21051,Toyota,Aygo,2017,8900,Automatic,15288,Petrol,145,67.3,1.0
21052,Toyota,Aygo,2019,10700,Manual,4300,Petrol,145,56.5,1.0
21053,Toyota,Aygo,2017,7600,Manual,15372,Petrol,145,68.9,1.0
21054,Toyota,Aygo,2015,5750,Manual,26968,Petrol,0,69.0,1.0
21055,Toyota,Aygo,2018,10495,Automatic,6238,Other,145,67.3,1.0
21056,Toyota,Aygo,2017,8579,Automatic,6433,Other,145,67.0,1.0
21057,Toyota,Aygo,2018,8995,Manual,15174,Petrol,145,68.9,1.0
21058,Toyota,Aygo,2017,7880,Manual,22479,Petrol,145,69.0,1.0
21059,Toyota,Aygo,2017,7495,Manual,13485,Petrol,145,69.0,1.0
21060,Toyota,Aygo,2017,8900,Automatic,20868,Other,145,67.0,1.0
21061,Toyota,Aygo,2018,9195,Automatic,8460,Other,145,56.5,1.0
21062,Toyota,Aygo,2016,6550,Manual,31624,Petrol,0,69.0,1.0
21063,Toyota,Aygo,2017,9880,Automatic,9149,Other,145,67.3,1.0
21064,Toyota,Aygo,2020,9995,Manual,649,Petrol,145,56.5,1.0
21065,Toyota,Aygo,2017,8550,Manual,10687,Petrol,145,68.9,1.0
21066,Toyota,Aygo,2020,11360,Manual,560,Petrol,145,57.7,1.0
21067,Toyota,Aygo,2018,8326,Automatic,41802,Other,145,67.0,1.0
21068,Toyota,Aygo,2019,10382,Manual,500,Petrol,145,57.7,1.0
21069,Toyota,Aygo,2019,10382,Manual,350,Petrol,145,57.7,1.0
21070,Toyota,Aygo,2017,6821,Manual,12346,Petrol,145,69.0,1.0
21071,Toyota,Aygo,2017,8378,Automatic,14041,Other,145,67.0,1.0
21072,Toyota,Aygo,2014,6385,Manual,26866,Petrol,0,69.0,1.0
21073,Toyota,Aygo,2017,7998,Manual,23406,Petrol,145,68.9,1.0
